,latitude,longitude,winery,province,country
467,-25.274398,133.775136,Rafferty's Rules,Australia Other,Australia
468,44.837789,-0.57918,Château Capbern,Bordeaux,France
469,38.4024531,-121.4356653,Zoller,California,US
470,40.46366700000001,-3.74922,R. de Ayala Lete E Hijos,Northern Spain,Spain
471,41.5911589,1.5208624,Finca Hispana,Catalonia,Spain
472,44.7619968,8.0047899,Battaglio,Piedmont,Italy
473,47.13685539999999,4.9444302,Varichon & Clerc,France Other,France
474,38.2504046,-122.3810932,Carneros Highway,California,US
475,36.9125734,22.2710591,Zacharias,Peloponnese,Greece
476,42.490782,-2.436175,Bodegas Faustino,Northern Spain,Spain
477,-38.416097,-63.61667199999999,Filus,Other,Argentina
478,40.910588,14.868303,Feudi di San Gregorio,Southern Italy,Italy
479,33.781654,-116.5005267,Goats Trail,California,US
480,45.0522366,7.5153885,Mario Gagliasso,Piedmont,Italy
481,42.37002,3.16027,Lozano,Central Spain,Spain
482,39.5578723,-7.807050599999999,Monte Largo,Tejo,Portugal
483,42.9471505,2.4782585,Château des Albières,Languedoc-Roussillon,France
484,40.46366700000001,-3.74922,Bodega Jario,Northern Spain,Spain
485,43.5593642,13.4907947,Piantate Lunghe,Central Italy,Italy
486,37.8766548,15.0877782,Cantine Russo,Sicily & Sardinia,Italy
487,34.1013954,-118.3287513,Io,California,US
488,43.531033,4.1791159,Domaine Royal de Jarras,Languedoc-Roussillon,France
489,45.053499,4.866517,Domaine Michelas St Jemm,Rhône Valley,France
490,-33.7882981,115.0349515,Evans & Tate,Australia Other,Australia
491,40.46366700000001,-3.74922,Aspaldi,Northern Spain,Spain
492,47.0087706,4.7939709,Domaine Parent,Burgundy,France
493,33.6710879,-112.2008473,Freitas,Arizona,US
494,38.2931304,-122.4593339,Envolve,California,US
495,47.616126,1.517218,Château de Thauvenay,Loire Valley,France
496,44.7007181,10.145513,Monte delle Vigne,Central Italy,Italy
497,33.5134192,-112.0432546,1789 Wines,Oregon,US
498,-29.1606151,-67.5025903,La Riojana Coop,Other,Argentina
499,40.960947,14.88188,Agricola Bellaria,Southern Italy,Italy
500,44.4257053,22.8680481,Sirena Dunarii,Vânju Mare,Romania
501,38.548252,-122.87304,Bucher,California,US
502,43.6964739,4.3853876,Château de Valcombe,Rhône Valley,France
503,41.87194,12.56738,Benedetto,Northeastern Italy,Italy
504,38.11696800000001,-122.594452,Jacella,California,US
505,33.9444582,-118.3963995,World's End,California,US
506,44.0144936,6.2116438,Andrieux & Fils,Provence,France
507,44.635842,7.959738000000001,Molino,Piedmont,Italy
508,38.291859,-122.4580356,Sivas-Sonoma,California,US
509,38.4235824,-122.8488612,Crossbarn Paul Hobbs,California,US
510,34.7720598,-120.1332689,Zaca Mesa,California,US
511,47.060964,4.65548,Moingeon,Burgundy,France
512,38.2880242,-122.4615572,Q Sonoma,California,US
513,-33.49059200000001,-70.5498923,Viña Aquitania,Maipo Valley,Chile
514,47.4174072,0.8504004,Domaine Vincent Carême,Loire Valley,France
515,38.6959623,-122.9646076,Zichichi Family Vineyard,California,US
516,-35.218699,138.54456,McLaren Vale Premium Wines,South Australia,Australia
517,40.46366700000001,-3.74922,Pago de Valdetruchas,Northern Spain,Spain
518,45.6637229,-121.0353404,Jacob Williams,Oregon,US
519,44.8923923,-0.1532581,Château la Clotte,Bordeaux,France
520,48.072844,4.211307,Comte de Lantage,Champagne,France
521,36.775799,-120.399704,Arbios,California,US
522,38.286765,-122.458163,Thomas Halby,California,US
523,38.3846846,-122.8109948,Kukeri,California,US
524,43.439193,3.205728,Les Chemins de Bassac,Languedoc-Roussillon,France
525,43.524817,10.678462,Burchino,Tuscany,Italy
526,34.42138449999999,-119.5965173,Summerland,California,US
